episode,reward,steps,epsilon
680,710.0,679,0.03308985827710748
681,350.0,473,0.032924408985721944
682,310.0,407,0.03275978694079333
683,690.0,607,0.032595988006089364
684,130.0,569,0.032433008066058915
685,300.0,429,0.03227084302572862
686,1670.0,675,0.032109488810599975
687,170.0,437,0.031948941366546975
688,450.0,615,0.03178919665971424
689,220.0,437,0.03163025067641567
690,840.0,1201,0.03147209942303359
691,470.0,531,0.03131473892591842
692,280.0,403,0.031158165231288826
693,370.0,413,0.03100237440513238
694,600.0,635,0.030847362533106718
695,710.0,637,0.030693125720441184
696,280.0,545,0.030539660091838977
697,1160.0,713,0.03038696179137978
698,950.0,681,0.030235026982422884
699,1020.0,747,0.030083851847510768
700,480.0,541,0.029933432588273214
701,810.0,789,0.029783765425331846
702,1210.0,943,0.029634846598205186
703,1320.0,681,0.02948667236521416
704,570.0,691,0.029339239003388088
705,330.0,597,0.029192542808371146
706,1810.0,871,0.02904658009432929
707,840.0,731,0.028901347193857643
708,1280.0,761,0.028756840457888354
709,180.0,381,0.02861305625559891
710,180.0,373,0.028469990974320916
711,400.0,497,0.02832764101944931
712,240.0,387,0.028186002814352063
713,440.0,437,0.0280450728002803
714,340.0,403,0.0279048474362789
715,2110.0,693,0.027765323199097504
716,650.0,965,0.027626496583102015
717,860.0,817,0.027488364100186506
718,840.0,717,0.027350922279685573
719,890.0,857,0.027214167668287145
720,830.0,569,0.02707809682994571
721,250.0,521,0.02694270634579598
722,240.0,503,0.026807992814067
723,1020.0,677,0.026673952849996664
724,380.0,575,0.02654058308574668
725,810.0,739,0.026407880170317945
726,480.0,679,0.026275840769466357
727,300.0,541,0.026144461565619025
728,830.0,805,0.02601373925779093
729,420.0,601,0.025883670561501974
730,550.0,579,0.025754252208694463
731,350.0,427,0.02562548094765099
732,610.0,643,0.025497353542912736
733,630.0,735,0.02536986677519817
734,440.0,737,0.02524301744132218
735,300.0,559,0.025116802354115567
736,480.0,505,0.024991218342344988
737,350.0,401,0.024866262250633264
738,430.0,635,0.024741930939380097
739,520.0,671,0.024618221284683196
740,370.0,585,0.02449513017825978
741,390.0,545,0.02437265452736848
742,230.0,495,0.024250791254731636
743,330.0,347,0.024129537298457977
744,250.0,417,0.024008889611965685
745,470.0,667,0.023888845163905856
746,240.0,455,0.023769400938086327
747,270.0,393,0.023650553933395897
748,280.0,515,0.023532301163728918
749,840.0,675,0.023414639657910272
750,360.0,545,0.023297566459620722
751,450.0,447,0.023181078627322618
752,380.0,593,0.023065173234186005
753,210.0,511,0.022949847368015076
754,220.0,417,0.022835098131175
755,520.0,927,0.022720922640519125
756,540.0,625,0.02260731802731653
757,200.0,447,0.022494281437179946
758,110.0,305,0.022381810029994047
759,980.0,829,0.022269900979844076
760,330.0,505,0.022158551474944856
761,300.0,373,0.022047758717570132
762,640.0,661,0.021937519923982282
763,180.0,425,0.021827832324362372
764,580.0,621,0.02171869316274056
765,530.0,597,0.021610099696926857
766,450.0,575,0.021502049198442223
767,330.0,343,0.021394538952450012
768,340.0,605,0.02128756625768776
769,290.0,609,0.021181128426399323
770,170.0,361,0.021075222784267326
771,460.0,485,0.020969846670345987
772,300.0,471,0.020864997436994256
773,1080.0,635,0.020760672449809284
774,100.0,325,0.020656869087560238
775,120.0,431,0.020553584742122436
776,940.0,675,0.020450816818411825
777,940.0,615,0.020348562734319765
778,320.0,355,0.020246819920648168
779,320.0,737,0.020145585821044927
780,270.0,527,0.020044857891939702
781,330.0,593,0.019944633602480003
782,460.0,465,0.019844910434467605
783,1100.0,751,0.019745685882295267
784,430.0,459,0.01964695745288379
785,1240.0,693,0.01954872266561937
786,340.0,453,0.019450979052291272
787,750.0,579,0.019353724157029815
788,1040.0,681,0.019256955536244666
789,1050.0,817,0.019160670758563442
790,270.0,451,0.019064867404770626
791,620.0,657,0.018969543067746772
792,360.0,459,0.018874695352408037
793,220.0,499,0.018780321875645996
794,1100.0,593,0.018686420266267767
795,270.0,421,0.018592988164936427
796,500.0,637,0.018500023224111744
797,290.0,565,0.018407523107991184
798,480.0,813,0.01831548549245123
799,250.0,389,0.018223908064988973
800,310.0,535,0.018132788524664028
801,410.0,397,0.018042124582040707
802,420.0,465,0.017951913959130504
803,220.0,325,0.01786215438933485
804,580.0,677,0.017772843617388175
805,890.0,635,0.017683979399301233
806,340.0,403,0.017595559502304726
807,520.0,875,0.0175075817047932
808,440.0,599,0.017420043796269234
809,770.0,747,0.017332943577287888
810,170.0,521,0.01724627885940145
811,330.0,449,0.017160047465104442
812,780.0,649,0.01707424722777892
813,350.0,401,0.016988875991640028
814,160.0,475,0.016903931611681827
815,140.0,319,0.01681941195362342
816,310.0,537,0.016735314893855303
817,450.0,449,0.016651638319386028
